id,count,area,latitude,longitude,junction_id,junction_dst
1,13,Strathcona,49.2809460559638,-123.098740402526,3294,77.58279076233632
2,3,Downtown,49.2830027140801,-123.114030011941,2719,78.35941076142585
3,1,Dunbar-Southlands,49.2420755387246,-123.181699269409,455,35.67684032533842
4,2,Kitsilano,49.2682793854919,-123.146116514792,1456,45.50401578546307
5,3,Sunset,49.2279445139151,-123.090292899914,3664,45.498674362507664
6,3,Strathcona,49.2791877019706,-123.098501757587,3287,93.58560134954217
7,7,Strathcona,49.2715743514744,-123.099346861577,3312,28.762736448465873
8,3,Kensington-Cedar Cottage,49.251024712975,-123.078287617007,4190,27.695781007934563
9,11,Downtown,49.2781014691858,-123.125358667433,2304,56.72644725139564
10,3,Downtown,49.2807050501541,-123.103557536527,3055,63.51571661943074
11,3,Downtown,49.2807085510905,-123.10365583813,3055,57.114057521405975
12,4,Grandview-Woodland,49.2809007341293,-123.06743406525,4635,68.10579231930654
13,4,Grandview-Woodland,49.2809078676575,-123.067232783362,4635,80.73423218581017
14,2,Fairview,49.266467785809,-123.14070441827,1621,31.31076784838302
15,1,Kensington-Cedar Cottage,49.2535717873363,-123.066539780038,4684,30.155925889381077
16,5,Kitsilano,49.2678731357839,-123.153091121372,1201,37.38295721273787
17,5,Kitsilano,49.2678736947888,-123.153008648237,1201,33.67786444191138
18,5,Kitsilano,49.2678743456837,-123.153196280569,1201,42.7211458559912
19,2,West End,49.2859087403969,-123.126254345021,2217,52.46554606016159
20,2,Kitsilano,49.263860529664,-123.171421953992,712,32.777631336829025
21,1,Downtown,49.2806285944676,-123.116514023228,2650,70.96565341729305
22,1,West End,49.2829748203805,-123.135828229813,1880,69.06603947180852
23,2,Downtown,49.2801690253368,-123.102864979458,3145,51.239929478092044
24,1,Fairview,49.261448903555,-123.139455852923,1716,67.48372495765372
25,3,Kensington-Cedar Cottage,49.2443089207207,-123.062703572485,4875,66.6370566120197
26,3,Sunset,49.2187892637557,-123.101508217532,3169,46.17200299425196
27,3,Sunset,49.2188621283758,-123.101504933703,3169,53.08317998811236
28,1,Downtown,49.2826054258406,-123.109156859482,2883,29.30578200816736
29,1,Kitsilano,49.2689897019233,-123.167665286255,788,52.6809415809162
30,1,Killarney,49.2328316643309,-123.036093138858,6071,40.66780968447186
31,1,Killarney,49.2329162458298,-123.036009410259,6071,49.720946664511445
32,1,Killarney,49.2330017267961,-123.035925668289,6071,59.60833052594282
33,1,Killarney,49.2330863073188,-123.035844686345,6071,69.78467292105523
34,4,Grandview-Woodland,49.2762256851536,-123.076858273637,4235,50.08221544386001
35,1,Grandview-Woodland,49.2721934708349,-123.076376280245,4291,33.18626928549966
36,5,Kensington-Cedar Cottage,49.2475062947841,-123.069598828649,4548,26.81588328191816
37,6,Mount Pleasant,49.2656665817511,-123.101328314362,3236,40.23460039836914
38,26,Grandview-Woodland,49.2845377929528,-123.062199338578,4957,51.999953310503656
39,9,Kitsilano,49.268739919161,-123.177144735405,569,47.236157357392756
40,13,Downtown,49.2820752626029,-123.102787435802,3155,50.980088871278404
41,4,Strathcona,49.2807564898186,-123.085422918405,3894,57.742159761218375
42,6,Downtown,49.2836528842254,-123.111896449933,2795,42.16400413839746
43,1,Mount Pleasant,49.259889643563,-123.077902235957,4208,40.17915752810111
44,14,Downtown,49.2824172363378,-123.100077460163,3298,38.47393309090728
45,14,Downtown,49.2824928055692,-123.100066200696,3298,41.85200223095903
46,5,Downtown,49.281700775452,-123.103613245153,3056,58.10137280999211
47,3,Grandview-Woodland,49.2845373698122,-123.06381669185,4859,37.07099938359208
48,3,Grandview-Woodland,49.2845385940942,-123.064026387588,4859,46.65366183157992
49,1,Kensington-Cedar Cottage,49.2579374433718,-123.070220497774,4553,35.23137002005136
50,3,Grandview-Woodland,49.2773695727451,-123.075965054846,4301,71.48356354004397
